e7841609-e470-4289-90ae-12be55d1afd2,2018-08-01,-0.8969,0.079,0.065,0.855
8ebada18-7ef6-4779-bff7-b00a959d03c1,2018-08-01,-0.9938,0.108,0.037,0.854
d2eeec2c-9bf9-4bdb-ab77-b6db3ce002ab,2018-08-01,-0.6271,0.128,0.123,0.749
272b79ef-b0cf-48e6-83d5-3a0d7be55161,2018-08-01,0.9913,0.02,0.155,0.825
976cacb8-d8cf-4ad5-93a8-ccb3c0c58738,2018-08-01,0.9231,0.027,0.098,0.875
f817c3dc-9bb0-49a7-a60c-e8c7ec220d48,2018-08-01,0.0,0.0,0.0,0.0
ab05f016-8724-4dc9-8104-0a323508202d,2018-08-01,-0.6597,0.069,0.055,0.876
2e4ef0d9-2955-4221-aeb2-62911d2c629b,2018-08-01,0.802,0.0,0.313,0.687
1b913a62-be4d-49f6-8dbb-c1cb8312bf5f,2018-08-01,-0.9486,0.11,0.088,0.802
397e0feb-3cb8-42e1-a03f-4172845f08f3,2018-08-01,-0.9988,0.126,0.063,0.812
74b25374-b62b-483e-9f80-9c359fd3d7ef,2018-08-01,0.802,0.026,0.07,0.903
93203154-5a29-4e19-9ad2-7103a3c7c35f,2018-08-01,-0.9806,0.12,0.046,0.835
96516cca-7497-4033-9359-b34b725ae493,2018-08-01,-0.9524,0.105,0.07,0.825
f14db1d5-b3db-4491-8fec-2daafc0edc0e,2018-08-01,-0.9884,0.143,0.087,0.77
6bd017c5-4290-4016-8fbd-d4a40b3ec28f,2018-08-01,0.957,0.04,0.073,0.887
96da61e4-7b21-48c4-bba1-3c92c8eab8ef,2018-08-01,0.99,0.065,0.112,0.823
008cc291-d6b2-4b6c-9dbf-06409ff50024,2018-08-01,-0.7278,0.147,0.121,0.733
b31745a5-f73a-4c54-ae0e-b3b5f332e320,2018-08-01,0.9638,0.079,0.089,0.832
f4ce4035-9419-45da-afa4-5801a491f785,2018-08-01,0.9995,0.053,0.097,0.85
2bc0399c-2fcf-4fab-a878-c5cd1e96800b,2018-08-01,0.8815,0.048,0.076,0.876
410babe5-8be1-46f4-b366-c9ec4759e817,2018-08-01,0.9863,0.051,0.123,0.826
875582dd-efe2-459f-b3f2-41db6b45d35f,2018-08-01,0.9767,0.008,0.144,0.847
55716288-5e39-4ced-98ae-54e771ba6508,2018-08-01,-0.1531,0.021,0.016,0.962
8b13be93-1d88-45bb-be6f-253e73f072a0,2018-08-01,-0.99,0.133,0.054,0.813
bac1c951-2a84-4f2e-b653-050d35eab5af,2018-08-01,0.7906,0.045,0.071,0.884
9b846e40-b855-45fd-a073-32465412375e,2018-08-01,-0.899,0.073,0.056,0.87
a4d61da3-e82e-4286-939d-0ed64efa6be5,2018-08-01,-0.9299,0.116,0.0,0.884
e05ac61e-3ad9-4dab-9f85-a28296520150,2018-08-01,-0.9871,0.145,0.061,0.794
80429028-2791-440a-a2d1-4fbd11400407,2018-08-01,0.0,0.0,0.0,0.0
d8ae5032-2f83-4903-9bf1-da4ecb4cb68b,2018-08-01,-0.9974,0.271,0.068,0.66
